,Road,Name,Average Chainage,Start_LRP,End_LRP,Total Cargo,Total People
53,N1,Harbang (Int.with Z1124) - Ekatabazar Z1125,320.099,LRP321,LRP328,3621.0,7632.0
54,N1,Ekatabazar Z1125 - Baraitali Int.with Z1002,325.515,LRP328,LRP331,1067.0,4499.0
55,N1,Baraitali Int.with Z1002-Int.with Z1126,329.031,LRP331,LRP335,1067.0,4499.0
56,N1,Int.with Z1126-Janatabazar (Int.with Z1127),331.47,LRP335,LRP336,1067.0,4499.0
57,N1,Janatabazar (Int.with Z1127) - Chokoria R172,332.4715,LRP336,LRP336,1067.0,4499.0
58,N1,Chokoria R172 - Faishakhali Z1005,335.0935,LRP336,LRP341,1597.0,6477.0
59,N1,Faishakhali Z1005- Dulahazra Z1130,340.4345,LRP341,LRP348,789.0,3486.0
60,N1,Dulahazra Z1130-Khutakhali Z1131,346.8065,LRP348,LRP354,789.0,3486.0
61,N1,Khutakhali Z1131 - Ramu (Int.with Z1001),360.51800000000003,LRP354,LRP376,789.0,3486.0
62,N1,Ramu (Int.with Z1001)-Ramu Intersection N109,372.22850000000005,LRP376,LRP378,789.0,3486.0
63,N1,Ramu Intersection N109 - Coxsbazar Link Road N110,377.478,LRP378,LRP386,789.0,3486.0
64,N1,Coxsbazar Link Road N110-Maricha Z1009,389.84299999999996,LRP386,LRP403,616.0,4065.0
65,N1,Maricha Z1009-Ukhia Dakbanglo Z1503,403.3195,LRP403,LRP413,616.0,4065.0
66,N1,Ukhia Dakbanglo Z1503 - Gundum Z1504,412.23900000000003,LRP413,LRP420,616.0,4065.0
67,N1,GundumGundum Z1504 - Whykong Z1133,422.476,LRP420,LRP433,616.0,4065.0
68,N1,Whykong Z1133 - Teknaf,445.581,LRP433,LRP467,616.0,4065.0
69,N2,Katchpur-Tarabo (Int with R201),1.1565,LRPS,LRP002,6710.0,16598.0
70,N2,Tarabo(Int with R 201)-Barpa(Int. with Z1090 LGED Road),4.1945,LRP002,LRP006,6815.0,10430.0
71,N2,Barpa(Int. with Z1090 LGED Road)-Bhulta (Int.with R202),8.5935,LRP006,LRP011,6556.0,11192.0
72,N2,Bhulta (Int.with R202)-Bhulta (Int.with R203),11.544,LRP011,LRP011,6556.0,11192.0
73,N2,Bhulta (Int.with R203)-Panchdona (Int.with R301),21.101,LRP011,LRP030,2717.0,8526.0
74,N2,Panchdona-Shahepratap(Int.with R210),31.8805,LRP030,LRP033,2789.0,9437.0
75,N2,Shahepratap(Int.with R210)-Itakhola(Int.with R211),38.316500000000005,LRP033,LRP042,2789.0,9437.0
76,N2,Itakhola-Morgal (Int.with Z2042),48.8515,LRP042,LRP055,3214.0,6677.0
77,N2,Morgal (Int.with Z2042)-Narayanpur (Int.with Z2032),59.2875,LRP055,LRP064,3303.0,7848.0
78,N2,Narayanpur (Int.with Z2032)-Bhairab (Int.with R360),67.2725,LRP064,LRP069,3303.0,7848.0
